nodo,lat,lon,adyacentes
1273548905,-12.2258689,-76.9335803,"1273666272:47.55:-12.2256544:-76.9332018,1709508418:50.72:-12.2262621:-76.9333437,4149786035:50.61:-12.2254738:-76.9338115"
1273553285,-12.2210961,-76.9309435,"1273657750:51.51:-12.2214949:-76.9307024,1273463089:48.92:-12.2213183:-76.931332,4334136249:59.68:-12.2206341:-76.931223"
1273554506,-12.205637,-76.9402408,"1572825489:49.26:-12.2060189:-76.9400111,1273619236:51.28:-12.2052394:-76.9404798,1572825422:48.05:-12.2058576:-76.940621"
1273557869,-12.2115235,-76.9404982,"1572825561:100.14:-12.2107495:-76.9409693,1273977645:48.76:-12.2112994:-76.9401126,4149688955:52.26:-12.2117646:-76.940911"
1273561137,-12.1909507,-76.9578202,"1723415003:48.39:-12.190697:-76.9574585,2166909945:40.51:-12.1911509:-76.9581316,2166909939:48.71:-12.1913341:-76.9576035"
1273561972,-12.2292265,-76.9558596,"2465762668:56.42:-12.229673:-76.9561063,1273696421:52.04:-12.2288148:-76.9556318,1273829780:191.6:-12.230646:-76.9548602"
1273562468,-12.2402733,-76.9227304,"1273681414:45.83:-12.2400074:-76.9224082,1273978286:41.15:-12.2405116:-76.9230201,1712258397:24.73:-12.2401021:-76.9228757"
1273563809,-12.2287152,-76.916937,"4116994972:42.16:-12.2290455:-76.9167466,5438615466:43.9:-12.2283712:-76.9171353,1754049844:79.2:-12.228348:-76.9163125"
1273564530,-12.1989302,-76.9475509,"1655095945:98.58:-12.1993839:-76.9483302,10036636280:10.44:-12.1988517:-76.9476036"
1273566329,-12.2109407,-76.9485066,"1657677964:51.04:-12.2113364:-76.9482685,1273458557:48.44:-12.2105652:-76.9487325,1273515047:50.27:-12.2107108:-76.9481083"
1273566333,-12.2433118,-76.9265549,"1273809027:149.94:-12.2444787:-76.9258635,1711015451:135.11:-12.2422603:-76.9271779,5438641470:52.2:-12.2435519:-76.9269677,1273843111:50.96:-12.243077:-76.9261522"
1273568845,-12.2151414,-76.9438612,"1273851456:52.06:-12.2149044:-76.9434481,1273918829:98.46:-12.2143791:-76.9443222,4370503676:48.47:-12.2153621:-76.9442458"
1273569357,-12.202886,-76.9595271,1273870808:318.76:-12.2047406:-76.9606753
1273569732,-12.2292744,-76.9403438,"4149786043:9.66:-12.2291993:-76.9403885,1404104117:103.01:-12.2288076:-76.939525,1710920329:50.84:-12.2296696:-76.9401085"
1273569946,-12.2046616,-76.9441194,"1273893935:49.47:-12.2050453:-76.943889,1572825706:48.89:-12.2048864:-76.944506,1273634962:52.23:-12.2042566:-76.9443628"
1273578997,-12.2061537,-76.9449088,"5432479561:100.86:-12.2069347:-76.9444368,1572825718:99.63:-12.2053823:-76.9453751,1572825701:48.11:-12.2063739:-76.9452899,1273835701:50.36:-12.2059232:-76.9445099"
1273581534,-12.2352613,-76.9185187,"1713649470:119.68:-12.236195:-76.9179709,1713628890:42.81:-12.2354576:-76.9188576,1723345359:87.81:-12.2345762:-76.9189206,4370545072:43.4:-12.2350619:-76.9181754"
1273582862,-12.2124489,-76.9438722,"1572825714:9.34:-12.2124059:-76.9437984,1572825663:98.72:-12.213216:-76.9434149,5010340982:6.95:-12.2124806:-76.9439273"
1273583082,-12.2458104,-76.9256398,"4209221363:49.0:-12.2460378:-76.9260261,1412475051:55.44:-12.2462427:-76.9253856,4209224205:130.01:-12.2447966:-76.9262358"
1273584072,-12.2325288,-76.9192634,"1710500100:104.13:-12.2317209:-76.9197479,1710500110:54.91:-12.2322807:-76.9188265,4370545025:322.67:-12.2322227:-76.9206161,4370545029:158.37:-12.2319712:-76.920181"
1273584386,-12.2292774,-76.9512228,"1273824046:46.78:-12.2296449:-76.9510132,5390273135:5.08:-12.2292371:-76.9512449,4284541248:169.89:-12.2284967:-76.949879"
1273584701,-12.2341647,-76.9154821,"5438624988:43.46:-12.2345038:-76.9152833,1572589443:110.54:-12.2336622:-76.9146044,1273703409:146.59:-12.2348324:-76.9166452"
1273585425,-12.2048738,-76.9417869,"5432479556:53.98:-12.2046259:-76.9413599,1273929728:50.54:-12.2044777:-76.942015"
1273585667,-12.2292382,-76.9184939,"1752177893:41.05:-12.2295589:-76.9183068,1273589260:42.23:-12.2289082:-76.9186863,1752177908:142.75:-12.2298739:-76.9196351"
1273586139,-12.2277884,-76.931338,"4149825610:99.43:-12.2285711:-76.9308955,10684369000:13.94:-12.2278532:-76.9314478"
1273587064,-12.2303803,-76.9199632,"5438606620:55.19:-12.2306362:-76.9203984,1710500110:244.77:-12.2322807:-76.9188265"
1273587829,-12.1943139,-76.9514027,"4149608110:6.1:-12.1943406:-76.9514517,1674163623:53.19:-12.1939031:-76.9516534"
1273588390,-12.1977441,-76.945512,"1405153397:49.81:-12.1979732:-76.9459058,5015244717:9.34:-12.1976718:-76.9455557"
1273588913,-12.2030644,-76.9423148,"1572825651:100.16:-12.2026044:-76.9415224,1273901444:52.61:-12.2034719:-76.9420688"
1273589260,-12.2289082,-76.9186863,"1273585667:42.23:-12.2292382:-76.9184939,1752177867:43.58:-12.2285677:-76.9188849,1752177890:142.86:-12.2295444:-76.9198284"
1273589312,-12.1982346,-76.9425682,"1405095644:112.15:-12.1991058:-76.9420483,5432474868:48.15:-12.1984524:-76.9429511"
1273589413,-12.1986406,-76.9515344,"1273766937:48.82:-12.1984167:-76.951148,1657677734:51.83:-12.1988783:-76.9519446,1657677742:100.25:-12.1994214:-76.9510733"
1273589857,-12.2289699,-76.9426638,"1273488825:49.17:-12.2293484:-76.9424298,1710920316:49.39:-12.2287382:-76.9422761,6804326432:99.33:-12.2294359:-76.9434436,4370536209:155.03:-12.2277764:-76.9434013"
1273590993,-12.2371072,-76.9240355,"1712258365:22.22:-12.2372809:-76.9239344,1273792861:43.24:-12.236911:-76.923692,1712258366:42.77:-12.2373014:-76.9243752"
1273591140,-12.2150212,-76.9373661,"1663856000:49.24:-12.215242:-76.9377588,4370504433:50.51:-12.2147946:-76.9369633,1663856056:105.43:-12.2142023:-76.937855"
1273591306,-12.2232389,-76.9346213,"1709508361:50.73:-12.223473:-76.935022,1273827934:99.87:-12.2240176:-76.9341634,4149786015:49.18:-12.223012:-76.9342328"
1273591523,-12.2078183,-76.9422169,"1273935992:99.04:-12.2070519:-76.9426813,1273684265:50.1:-12.2080481:-76.9426134,4370478297:50.83:-12.2082116:-76.9419786,1273866497:45.59:-12.2076092:-76.9418561"
1273593039,-12.2429229,-76.9225314,"4370545131:112.66:-12.2421486:-76.9232001,1273458569:47.92:-12.2432522:-76.922247,1273687871:43.41:-12.2426687:-76.9222282,1711041619:40.66:-12.2431636:-76.9228131"
1273593293,-12.220191,-76.9369948,"4149786006:99.27:-12.2197371:-76.9362082,10674809232:10.5:-12.2202724:-76.9369458,4149749712:6.52:-12.2201405:-76.9370252"
1273594792,-12.2057037,-76.9412786,"1273619236:101.01:-12.2052394:-76.9404798,4149643653:7.47:-12.2056467:-76.941315"
